gene	dn	ds
SAR0123	  0.00371034	  0.03214369
SAR1171	  0.00284256	  0.02125168
SAR1172	  0.00141321	  0.00687116
SAR1173	  0.00269814	  0.02283641
SAR1174	  0.00014372	  0.02090203
SAR1175	  0.00081641	  0.02822255
SAR1176	  0.00045106	  0.02303074
SAR1177	  0.00088410	  0.02282595
SAR1178	  0.00067518	  0.01269930
SAR1179	  0.00084697	  0.02435974
SAR1180	  0.00229276	  0.02398868
SAR0124	  0.00616710	  0.03162936
SAR1181	  0.00113939	  0.01784013
SAR1182	  0.00457577	  0.01319152
SAR1183	  0.00094805	  0.02157083
SAR1184	  0.00210442	  0.02986972
SAR1185	  0.00156182	  0.01866608
SAR1186	  0.00023278	  0.01806351
SAR1187	  0.00054971	  0.02986077
SAR1188	  0.00219215	  0.02586771
SAR1189	  0.00335827	  0.02947075
SAR1190	  0.00710222	  0.04314235
SAR0125	  0.00209391	  0.02550648
SAR1191	  0.00354412	  0.01705527
SAR1192	  0.00187574	  0.03532086
SAR1193	  0.00240799	  0.04002209
SAR1194	  0.00074509	  0.01808930
SAR1195	  0.00251847	  0.01124882
SAR1196	  0.00136918	  0.03505569
SAR1197	  0.00412857	  0.02164143
SAR1198	  0.00076073	  0.02165024
SAR1199	  0.00242461	  0.01186151
SAR1200	  0.00000000	  0.00166905
SAR0126	  0.00623124	  0.03495990
SAR1201	  0.00077329	  0.00810241
SAR1202	  0.00187348	  0.01310421
SAR1203	  0.00226105	  0.03128516
SAR1204	  0.00063387	  0.01290806
SAR1205	  0.00239164	  0.02559619
SAR1206	  0.00372603	  0.04587317
SAR1207	  0.00040343	  0.00987714
SAR1208	  0.00010524	  0.00000000
SAR1209	  0.00013501	  0.01491779
SAR1210	  0.00254563	  0.02464758
SAR0127	  0.00028882	  0.01829161
SAR1211	  0.00223819	  0.01344762
SAR1212	  0.00179417	  0.01537448
SAR1213	  0.00096873	  0.02785149
SAR1214	  0.00009166	  0.00542158
SAR1215	  0.00181149	  0.02263083
SAR1216	  0.00163680	  0.03338466
SAR1217	  0.00057114	  0.00641904
SAR1218	  0.00683655	  0.03334869
SAR1219	  0.00310760	  0.06976664
SAR1220	  0.00566040	  0.05422593
SAR0128	  0.01548967	  0.01950130
SAR1221	  0.00075653	  0.01111442
SAR1222	  0.00201969	  0.03020826
SAR1225	  0.00475729	  0.01911595
SAR1226	  0.00047670	  0.02009307
SAR1227	  0.00139778	  0.03986051
SAR1228	  0.00276427	  0.02494002
SAR1229	  0.00052337	  0.01867112
SAR1230	  0.00073605	  0.03063005
SAR0129	  0.00043754	  0.03990662
SAR1231	  0.00033343	  0.03669723
SAR1232	  0.00012959	  0.00514484
SAR1233	  0.00044020	  0.00726239
SAR1234	  0.00020889	  0.00901217
SAR1235	  0.00058512	  0.02760849
SAR1236	  0.00090614	  0.01919554
SAR1237	  0.00067435	  0.02036875
SAR1238	  0.00196708	  0.04634861
SAR1239	  0.00211205	  0.04209994
SAR1240	  0.00107419	  0.04075586
SAR0130a	  0.02513166	  0.03064777
SAR1241	  0.00102020	  0.00597558
SAR1242	  0.00135696	  0.01594200
SAR1243	  0.00008662	  0.02554606
SAR1244	  0.00216541	  0.01564111
SAR1245	  0.00056796	  0.02025634
SAR1246	  0.00013866	  0.00109880
SAR1247	  0.00388895	  0.08535189
SAR1248	  0.00077975	  0.03007478
SAR1249	  0.00000000	  0.00000000
SAR1250	  0.00075560	  0.02538651
SAR0130	  0.00717560	  0.15675016
SAR1251	  0.00061455	  0.01837954
SAR1252	  0.00145726	  0.02164406
SAR1253	  0.00112434	  0.01551954
SAR1254	  0.00115976	  0.01937972
SAR1255	  0.00228297	  0.02862060
SAR1256	  0.00500886	  0.02009163
SAR1257	  0.00017603	  0.02456334
SAR1258	  0.00057172	  0.00973569
SAR1259	  0.00070982	  0.01827514
SAR1260	  0.00375798	  0.02509604
SAR0131	  0.01194702	  0.09467069
SAR1261	  0.00027446	  0.01186945
SAR1262	  0.00014441	  0.01621349
SAR1263	  0.00029132	  0.00491782
SAR1264	  0.00083349	  0.02052304
SAR1265	  0.00208178	  0.02560996
SAR1266	  0.00202315	  0.03058688
SAR1267	  0.00521591	  0.02792848
SAR1268	  0.00076053	  0.02997168
SAR1269	  0.00142263	  0.01291518
SAR1270	  0.00189401	  0.01614575
SAR0012	  0.00463018	  0.08390749
SAR0132	  0.00499582	  0.05572244
SAR1271	  0.00197000	  0.02758634
SAR1272	  0.00274162	  0.03085914
SAR1273	  0.00013579	  0.01329539
SAR1273a	  0.03514415	  0.06325624
SAR1274	  0.00103966	  0.01818511
SAR1275	  0.00175430	  0.02064870
SAR1276	  0.00232854	  0.03842842
SAR1277	  0.00510838	  0.03316502
SAR1278	  0.00677477	  0.04116444
SAR1279	  0.00619927	  0.00000000
SAR0133	  0.00297544	  0.06401048
SAR1280	  0.00122493	  0.04920279
SAR1281	  0.00227656	  0.02440064
SAR1282	  0.00401178	  0.03472871
SAR1283	  0.00109774	  0.01451470
SAR1284	  0.00067089	  0.09419143
SAR0134	  0.00719301	  0.06264935
SAR0135	  0.00015975	  0.02819342
SAR0137	  0.00114782	  0.03923651
SAR1326	  0.00196439	  0.04933526
SAR1327	  0.02073705	  0.20083079
SAR1328	  0.01071263	  0.21461950
SAR1329	  0.01943349	  0.09625252
SAR1333	  0.00286407	  0.03434122
SAR1334	  0.00118130	  0.02268245
SAR1335	  0.00186588	  0.02138568
SAR0138	  0.00127253	  0.02651547
SAR1336	  0.00120185	  0.03133048
SAR1337	  0.00056585	  0.02366727
SAR1338	  0.00132564	  0.01759151
SAR1339	  0.00182538	  0.02856390
SAR1340	  0.00679433	  0.04239765
SAR1341	  0.00403068	  0.05604215
SAR1342	  0.00126750	  0.03096333
SAR1343	  0.00252844	  0.03968222
SAR1344	  0.00120852	  0.03155235
SAR1345	  0.00000000	  0.00000000
SAR0139	  0.00082336	  0.03533597
SAR1346	  0.00201842	  0.00933056
SAR1347	  0.00232494	  0.04108298
SAR1348	  0.00593206	  0.04841913
SAR1349	  0.00149913	  0.02513748
SAR1350	  0.00724638	  0.00208820
SAR1351	  0.00010078	  0.01020415
SAR1352	  0.00145622	  0.02427685
SAR1353	  0.00000000	  0.00094174
SAR1355	  0.00391212	  0.00654748
SAR1356	  0.00460082	  0.03084521
SAR0140	  0.01767765	  0.04567730
SAR1357	  0.00877541	  0.03109617
SAR1360	  0.00334131	  0.07936418
SAR1361	  0.00070686	  0.02402941
SAR1362	  0.00080962	  0.02235209
SAR1363	  0.00351091	  0.01472858
SAR1364	  0.00394406	  0.01489573
SAR1365	  0.00115304	  0.01998273
SAR1366	  0.00112066	  0.02592991
SAR0141	  0.00012644	  0.01882032
SAR1367	  0.00198567	  0.02099937
SAR1368	  0.00145954	  0.04765505
SAR1369	  0.00202071	  0.03223204
SAR1370	  0.00026078	  0.00000000
SAR1371	  0.00046698	  0.04055078
SAR1372	  0.01081276	  0.17089066
SAR1373	  0.00054104	  0.02652100
SAR1374	  0.00065797	  0.01778886
SAR1375	  0.19925104	  0.22322702
SAR1376	  0.00504924	  0.01288109
SAR0013	  0.00396358	  0.01784729
SAR0142	  0.00262268	  0.02030937
SAR1377	  0.00204131	  0.03364637
SAR1378	  0.00429987	  0.03259738
SAR1379	  0.00225985	  0.01981709
SAR1380	  0.00639326	  0.06941253
SAR1381	  0.00790932	  0.07096508
SAR1383	  0.01178006	  0.08351654
SAR1384	  0.00983575	  0.03656156
SAR1385	  0.00229747	  0.03820737
SAR1386	  0.00997400	  0.07809232
SAR1387	  0.00078298	  0.03253324
SAR0143	  0.00124693	  0.02166206
SAR1388	  0.00029401	  0.03053875
SAR1391	  0.00440015	  0.00623713
SAR1393	  0.01080422	  0.03292844
SAR1394	  0.00589726	  0.04050611
SAR1396	  0.00105135	  0.05473417
SAR1397	  0.00010077	  0.00018128
SAR1398	  0.00375130	  0.08484108
SAR1399	  0.00466775	  0.07064934
SAR0144	  0.00192508	  0.04409207
SAR1400	  0.00235584	  0.04625328
SAR1401	  0.00078579	  0.03762081
SAR1402	  0.00076259	  0.02015373
SAR1403	  0.00278307	  0.04296340
SAR1404	  0.00061325	  0.07000567
SAR1405	  0.00322864	  0.02105809
SAR1406	  0.00385246	  0.05336145
SAR1407	  0.00731720	  0.05384122
SAR1408	  0.00654686	  0.09613763
SAR1409	  0.00170276	  0.05236214
SAR0145	  0.00076215	  0.02306550
SAR1410	  0.00280737	  0.02762016
SAR1411	  0.00325936	  0.02326711
SAR1412	  0.00177978	  0.02108613
SAR1413	  0.01681074	  0.12046528
SAR1414	  0.00000000	  0.00804982
SAR1415	  0.00000000	  0.00968999
SAR1416	  0.00123396	  0.01074319
SAR1417	  0.00132648	  0.01980341
SAR1418	  0.00181318	  0.02128119
SAR1419	  0.00337902	  0.02692408
SAR0146	  0.00536970	  0.03666964
SAR1420	  0.00255546	  0.02159916
SAR1421	  0.00006410	  0.04412275
SAR1422	  0.00184646	  0.07946649
SAR1423	  0.00501140	  0.03524642
SAR1424	  0.00501306	  0.02874832
SAR1425	  0.00081281	  0.03559933
SAR1426	  0.00085768	  0.04442166
SAR1427	  0.00015124	  0.03503696
SAR1428	  0.00367986	  0.00000000
SAR1429	  0.00279532	  0.02276452
SAR0147	  0.00874928	  0.03529132
SAR1430	  0.00219294	  0.02697192
SAR1431	  0.00212905	  0.02335007
SAR1432	  0.00445860	  0.04294261
SAR1434	  0.00022450	  0.02524857
SAR1435	  0.00236280	  0.06265479
SAR1436	  0.00156784	  0.06058879
SAR1437	  0.00247154	  0.02127495
SAR1438	  0.00321452	  0.02474913
SAR1439	  0.00163758	  0.02966702
SAR1440	  0.00077456	  0.05413567
SAR1441	  0.00541504	  0.03089533
SAR1442	  0.00965351	  0.05448534
SAR1443	  0.00328388	  0.01351270
SAR1444	  0.00455368	  0.00048444
SAR1445	  0.00142225	  0.04382704
SAR1446	  0.02039233	  0.20343960
SAR1447	  0.24923619	  0.30344496
SAR1448	  0.00410933	  0.04153617
SAR1449	  0.00099263	  0.10903558
SAR1450	  0.00685256	  0.15126817
SAR1451	  0.00184608	  0.03202537
SAR1452	  0.00331970	  0.05971701
SAR1453	  0.00620313	  0.04178813
SAR1455	  0.00411869	  0.04439121
SAR1456	  0.00115468	  0.03763862
SAR1457	  0.00007157	  0.01786135
SAR1458	  0.00161414	  0.01721095
SAR1459	  0.00762229	  0.04447203
SAR1459a	  0.01075987	  0.00499845
SAR1460	  0.00227643	  0.01083171
SAR1461	  0.00024691	  0.00029971
SAR1462	  0.00645307	  0.02193265
SAR1463	  0.00100672	  0.01775830
SAR1464	  0.00255410	  0.02865887
SAR1465	  0.00117612	  0.03410965
SAR1466	  0.00081484	  0.02165426
SAR1467	  0.00253587	  0.03058894
SAR1468	  0.00619409	  0.03010144
SAR1469	  0.00248567	  0.02948725
SAR0151	  0.00191474	  0.03646514
SAR1470	  0.00359313	  0.00837009
SAR1471	  0.00024673	  0.01440913
SAR1472	  0.00900971	  0.05839699
SAR1473	  0.00363697	  0.02246645
SAR1474	  0.00192133	  0.02762225
SAR1475	  0.00539039	  0.06557198
SAR1476	  0.02037058	  0.13924109
SAR1477	  0.00533516	  0.10629339
SAR1478	  0.00133927	  0.02633189
SAR1479	  0.00342531	  0.05272580
SAR0014	  0.00123846	  0.03813926
SAR0152	  0.00000000	  0.00000000
SAR1480	  0.00255292	  0.03572608
SAR1481	  0.00152309	  0.01484176
SAR1482	  0.00000000	  0.00000000
SAR1483	  0.00364933	  0.03713075
SAR1484	  0.00036007	  0.03510645
SAR1485	  0.00220492	  0.01359778
SAR1486	  0.00212389	  0.02606381
SAR1487	  0.00336220	  0.02260262
SAR1488	  0.00049690	  0.03321581
SAR1489	  0.01533670	  0.03290823
SAR0153	  0.00264558	  0.01794252
SAR1490	  0.00425572	  0.04840639
SAR1491	  0.00684737	  0.05373953
SAR1492	  0.00300513	  0.03397888
SAR1493	  0.00219892	  0.03891217
SAR1494	  0.03397188	  0.12382332
SAR1495	  0.07240041	  0.22642249
SAR0154	  0.00383857	  0.04696902
SAR0155	  0.00094898	  0.04181754
SAR0156	  0.00504293	  0.04366274
SAR0157	  0.00130031	  0.02496866
SAR1567	  0.00153667	  0.04012451
SAR1568	  0.00033864	  0.02018443
SAR1569	  0.00055501	  0.04983434
SAR1570	  0.00856663	  0.06409258
SAR1571	  0.00274986	  0.02131178
SAR1572	  0.00605886	  0.03096013
SAR1573	  0.00055320	  0.03818808
SAR1574	  0.00016662	  0.01107392
SAR1575	  0.00332458	  0.02816628
SAR1576	  0.00420766	  0.01883747
SAR1577	  0.01257949	  0.02115002
SAR1578	  0.00609303	  0.03322351
SAR1579	  0.00065490	  0.02927532
SAR1581	  0.00240659	  0.02462306
SAR1582	  0.00025021	  0.02485118
SAR1583	  0.00062799	  0.00703407
SAR1584	  0.00265099	  0.03518423
SAR1585	  0.00905326	  0.05567192
SAR0015	  0.00085192	  0.03287053
SAR0162	  0.00431450	  0.02652587
SAR1586	  0.00754833	  0.04080084
SAR1589	  0.00005298	  0.02830235
SAR1590	  0.00484748	  0.02444934
SAR1591	  0.00159522	  0.01347545
SAR1592	  0.00157446	  0.00503742
SAR1593	  0.00601704	  0.05988141
SAR1594	  0.00284710	  0.09136295
SAR1595	  0.00269019	  0.02964272
SAR1596	  0.00171525	  0.02213017
SAR0163	  0.00234475	  0.02565189
SAR1597	  0.00144439	  0.03459353
SAR1598	  0.00000000	  0.01034096
SAR1599	  0.00301369	  0.02796511
SAR1600	  0.00226247	  0.01597434
SAR1601	  0.00036267	  0.02012924
SAR1602	  0.00139744	  0.01589104
SAR1603	  0.00006882	  0.00121288
SAR1604	  0.00080564	  0.02225297
SAR1605	  0.00316441	  0.02994098
SAR1606	  0.00013526	  0.01306534
SAR0164	  0.00575685	  0.03963903
SAR1607	  0.00258327	  0.05730782
SAR1608	  0.00057839	  0.01408038
SAR1609	  0.00227012	  0.06396948
SAR1610	  0.00221782	  0.02853959
SAR1611	  0.00000000	  0.00878055
SAR1612	  0.00162537	  0.03448340
SAR1613	  0.00189156	  0.02350042
SAR1614	  0.00192536	  0.01615243
SAR1615	  0.00353815	  0.01535519
SAR1616	  0.00885422	  0.02672834
SAR0165	  0.00458699	  0.02668845
SAR1617	  0.00077854	  0.02665701
SAR1618	  0.00416808	  0.03158590
SAR1619	  0.00313319	  0.01557264
SAR1620	  0.00332465	  0.02729476
SAR1621	  0.00169568	  0.01862740
SAR1622	  0.00131306	  0.02450553
SAR1623	  0.00015130	  0.03062941
SAR1624	  0.00098670	  0.01716377
SAR1625	  0.00186520	  0.00465921
SAR1626	  0.00102153	  0.01746133
SAR0166	  0.00415755	  0.02304472
SAR1627	  0.00357207	  0.03238240
SAR1628	  0.00033192	  0.00064374
SAR1629	  0.00180034	  0.03253879
SAR1630	  0.00012374	  0.00998077
SAR1631	  0.00108062	  0.02885370
SAR1632	  0.00055589	  0.01076611
SAR1633	  0.00040693	  0.01914731
SAR1634	  0.00185967	  0.02173117
SAR1635	  0.00146978	  0.02478972
SAR1636	  0.00595118	  0.02129792
SAR0167	  0.00200578	  0.02008731
SAR1637	  0.00619612	  0.03185557
SAR1638	  0.00008913	  0.01838497
SAR1639	  0.00257926	  0.04726481
SAR1640	  0.00034824	  0.04453885
SAR1642	  0.00026484	  0.01728905
SAR1643	  0.00276981	  0.03328263
SAR1644	  0.00027416	  0.02933547
SAR1645	  0.00240490	  0.00760370
SAR1646	  0.00067050	  0.02380435
SAR1647	  0.00296198	  0.01039818
SAR0168	  0.00336035	  0.00978207
SAR1648	  0.00070581	  0.01125808
SAR1649	  0.00134654	  0.01281350
SAR1650	  0.00040310	  0.02789521
SAR1651	  0.00021515	  0.00749242
SAR1652	  0.00000000	  0.00151629
SAR1653	  0.00062953	  0.02691065
SAR1654	  0.00258903	  0.02504731
SAR1655	  0.00350848	  0.02743250
SAR1656	  0.00086237	  0.02947581
SAR1657	  0.00031893	  0.02064625
SAR0169	  0.00154405	  0.03777020
SAR1658	  0.00134657	  0.00881325
SAR1659	  0.00217844	  0.02199153
SAR1660	  0.00482243	  0.04058149
SAR1662	  0.00038198	  0.03810875
SAR1663	  0.00009907	  0.00305772
SAR1664	  0.00139997	  0.01955283
SAR1665	  0.00391285	  0.03070018
SAR1666	  0.00081736	  0.00849429
SAR1667	  0.01219706	  0.02185058
SAR1668	  0.00362738	  0.02093577
SAR0170	  0.00275054	  0.07363745
SAR1669	  0.00125336	  0.01794921
SAR1670	  0.00194229	  0.03028057
SAR1671	  0.00659604	  0.02930103
SAR1672	  0.00463104	  0.02944835
SAR1673	  0.00356970	  0.02891880
SAR1674	  0.00341863	  0.02268066
SAR1675	  0.00036312	  0.04268437
SAR1676	  0.00271108	  0.01518502
SAR1677	  0.00129578	  0.02245287
SAR1680	  0.04166243	  0.03074062
SAR0171	  0.01276411	  0.03847983
SAR1683	  0.00243275	  0.05985417
SAR1684	  0.00308594	  0.01356645
SAR1685	  0.00367547	  0.01927691
SAR1686	  0.00628197	  0.03019822
SAR1687	  0.00625977	  0.02966780
SAR1688	  0.00454053	  0.02691984
SAR1689	  0.00020094	  0.01325677
SAR1690	  0.00015811	  0.01068837
SAR1691	  0.00005862	  0.02084132
SAR1692	  0.00044225	  0.01810889
SAR0016	  0.00073356	  0.04522283
SAR0172	  0.00299827	  0.01975666
SAR1693	  0.00194693	  0.01849176
SAR1694	  0.00000000	  0.00623440
SAR1695	  0.00045613	  0.00438234
SAR1696	  0.00009644	  0.02360673
SAR1697	  0.00154994	  0.01775527
SAR1698	  0.00247279	  0.03072354
SAR1699	  0.00493703	  0.04084972
SAR1701	  0.00084198	  0.03262846
SAR1702	  0.00137792	  0.02105294
SAR1703	  0.00319865	  0.03749152
SAR0173	  0.00397123	  0.06471710
SAR1705	  0.00192203	  0.02328961
SAR1706	  0.00018072	  0.00992120
SAR1707	  0.00132733	  0.03606104
SAR1708	  0.00115419	  0.02821226
SAR1709	  0.00000000	  0.00082628
SAR1710	  0.00086056	  0.03259860
SAR1711	  0.00039678	  0.01837269
SAR1713	  0.00284647	  0.02518223
SAR1714	  0.00039556	  0.02511667
SAR0174	  0.00538847	  0.03975195
SAR1715	  0.00111494	  0.00918129
SAR1716	  0.00380468	  0.02563314
SAR1717	  0.00090018	  0.01920775
SAR1718	  0.00009764	  0.01609469
SAR1719	  0.00017304	  0.01682725
SAR1720	  0.00256148	  0.02321342
SAR1721	  0.00118044	  0.02677799
SAR1722	  0.00170744	  0.01320454
SAR1723	  0.00088597	  0.01153831
SAR1724	  0.00073407	  0.02644804
SAR0175	  0.00448537	  0.02937614
SAR1725	  0.00000000	  0.00058252
SAR1726	  0.00045739	  0.00617158
SAR1727	  0.00111968	  0.00698481
SAR1728	  0.00379167	  0.02469651
SAR1729	  0.00116664	  0.01949154
SAR1729a	  0.00763853	  0.00000000
SAR1730	  0.00240982	  0.01757570
SAR1731	  0.00047242	  0.04726554
SAR1732	  0.00667455	  0.05970233
SAR0176	  0.00313681	  0.07519355
SAR1741	  0.00694294	  0.03117596
SAR1742	  0.00187632	  0.02200822
SAR1743	  0.00180820	  0.02608975
SAR1744	  0.00617253	  0.03328863
SAR1747	  0.00106079	  0.03095055
SAR1748	  0.00064394	  0.03973604
SAR1749	  0.00467560	  0.00904461
SAR1750	  0.00184037	  0.02846059
SAR1751	  0.00011332	  0.00000000
SAR1752	  0.00183836	  0.01765802
SAR1753	  0.00156313	  0.02326734
SAR1754	  0.00068782	  0.02084242
SAR1755	  0.00069152	  0.02920216
SAR1756	  0.00529475	  0.03520209
SAR1757	  0.00174769	  0.02471316
SAR1758	  0.00007065	  0.01573223
SAR1759	  0.00000000	  0.01169547
SAR1760	  0.00138064	  0.01479054
SAR1761	  0.00165763	  0.05310863
SAR1762	  0.00049109	  0.02828525
SAR1763	  0.00036137	  0.01027086
SAR1764	  0.00358172	  0.02736133
SAR1765	  0.00005305	  0.01475982
SAR1766	  0.00171029	  0.03176582
SAR1767	  0.00132571	  0.02386806
SAR1768	  0.00021076	  0.00000000
SAR1769	  0.00244999	  0.02226868
SAR1770	  0.00374140	  0.02121751
SAR1771	  0.00337979	  0.02928218
SAR1772	  0.00000000	  0.00131008
SAR1773	  0.00179218	  0.03202064
SAR1774	  0.00091027	  0.04091837
SAR1775	  0.00572863	  0.21575288
SAR1776	  0.00126214	  0.02318030
SAR1777	  0.00059240	  0.01376547
SAR1778	  0.00127843	  0.04256084
SAR1779	  0.00107388	  0.02172237
SAR1780	  0.00080676	  0.03194628
SAR1781	  0.01007974	  0.08224537
SAR1782	  0.00409262	  0.05235917
SAR1783	  0.00092650	  0.03038822
SAR1784	  0.00030316	  0.00397289
SAR1785	  0.00111335	  0.02050296
SAR1786	  0.00379799	  0.03037881
SAR0181	  0.00212323	  0.02433864
SAR1787	  0.00172287	  0.04034572
SAR1788	  0.00000000	  0.01731634
SAR1789	  0.00332313	  0.09169760
SAR1790	  0.00468215	  0.03487987
SAR1791	  0.00221972	  0.01083237
SAR1792	  0.00851956	  0.05282292
SAR1793	  0.00619651	  0.05213149
SAR1794	  0.00348179	  0.03385037
SAR1795	  0.00064732	  0.02552307
SAR1796	  0.00744489	  0.07130165
SAR0017	  0.00000000	  0.00290116
SAR0182	  0.00518972	  0.05545557
SAR1797	  0.00185521	  0.00423020
SAR1798	  0.00233547	  0.01155476
SAR1799	  0.00709571	  0.02765599
SAR1800	  0.00167410	  0.03103545
SAR1801	  0.00133571	  0.02756607
SAR1802	  0.00561989	  0.01516660
SAR1803	  0.00372483	  0.03035947
SAR1804	  0.00099294	  0.02289069
SAR1805	  0.00095643	  0.03930530
SAR1806	  0.00310147	  0.05279280
SAR0183	  0.00203169	  0.00958640
SAR1807	  0.00291999	  0.02766916
SAR1809a	  0.01346819	  0.03278418
SAR1810	  0.00143856	  0.04525891
SAR1811	  0.00180336	  0.03039787
SAR1812	  0.00957713	  0.02378560
SAR1813	  0.00452520	  0.03227103
SAR1814	  0.00369631	  0.07600095
SAR1815	  0.00111146	  0.07490386
SAR1816	  0.02199210	  0.08827370
SAR1817	  0.00072247	  0.00959760
SAR0184	  0.01051836	  0.08519851
SAR1818	  0.00119957	  0.01736499
SAR1819	  0.00960866	  0.02347053
SAR1820	  0.00005239	  0.00000000
SAR1821	  0.00106012	  0.02402910
SAR1822	  0.00023896	  0.02136529
SAR1823	  0.00118161	  0.04002764
SAR1824	  0.00178421	  0.00384573
SAR1825	  0.00299678	  0.04152080
SAR0185	  0.00436955	  0.05379915
SAR1833	  0.00315653	  0.00782681
SAR1834	  0.00083474	  0.04251077
SAR1835	  0.00124291	  0.03617526
SAR1836	  0.00184555	  0.02870729
SAR1837	  0.00935632	  0.07811260
SAR0186	  0.00655827	  0.05645716
SAR1838	  0.00809424	  0.03809871
SAR1839	  0.00251969	  0.12757545
SAR1840	  0.00888475	  0.08973279
SAR1842	  0.01030486	  0.08199001
SAR1843	  0.00174697	  0.05686574
SAR1844	  0.00105154	  0.03077840
SAR1845	  0.00110542	  0.04945306
SAR1846	  0.00921727	  0.06494471
SAR1847	  0.00294454	  0.02697768
SAR0187	  0.00169167	  0.04316776
SAR1848	  0.00130811	  0.01718237
SAR1849	  0.00257627	  0.02399101
SAR1850	  0.00393713	  0.03779817
SAR1851	  0.00268082	  0.02882076
SAR1852	  0.00381588	  0.03726657
SAR1853	  0.00459715	  0.02370621
SAR1854	  0.00484491	  0.03221455
SAR1855	  0.01133158	  0.03697796
SAR1856	  0.01431003	  0.07475067
SAR1857	  0.00051530	  0.02702694
SAR0188	  0.02188049	  0.13567101
SAR1858	  0.00000000	  0.02808640
SAR1859	  0.00299193	  0.01616066
